prolificid,events_concat_pre,events_concat_post1,events_concat_post2,events_concat_post3,post1_pre,post2_pre,post3_pre,post2_post1,post3_post1,post3_post2
5b915c9d22d85d000115c0f5,dyed my hair gone for a walk worked online,Voted by mail in NY Visited a local botanical garden Took online surveys almost every day,x,traveled to Florida played pickleball with new group lost weight,0.29891109466552734,0.11156727373600006,0.1659344732761383,0.0373101606965065,0.14307823777198792,0.007102971896529198
57d0a0bee3221e00015fe385,car broke down got a covid test started rewatching twin peaks,temporarily stayed with family death of in-law type person talked to an old friend,i declined an invite to a party i forgot my mask in my othe rpurse and had to wait int he car when we went grocery shopping. had to get tested for covid.,visited family for holidays helped neighbors shoveled snow,0.1356920450925827,0.21040873229503632,0.11383772641420364,0.17149296402931213,0.24962377548217773,0.14929771423339844
5d5425e26375ef001b10b4e8,watch football shop eat,rented an airbnb in another state met a wonderful man and we like each other getting familiar with stores in another town and state,a power outage broke our fridge so I spent an entire day cooking everything savable My family started rennovating our childhood home nothing,celebrated holidays at home husband died sold 2 cars,0.07275643944740295,0.08970042318105698,0.09174542874097824,0.0991731584072113,0.16063439846038818,0.21831810474395752
5c6f2e7632cb70000169b490,went to the park took a road trip did a survey,family came to visit for a few days voted went to the doctor,Got new internet connection Dropped a part time job Made plans for a vaction next year in late summer,New years Christmas Nutcracker,0.34683147072792053,0.1300514191389084,0.020859623327851295,0.07398618012666702,0.14412111043930054,-0.023597590625286102
5dd435b8370810425c2368cf,none none none,I began counseling a new individual  I entered into a new sexual relationship  I voted,Hiking Gardening Walking,Celebrated Christmas Celebrated New Year's eve Watched Trump incite a riot on television,0.06954893469810486,0.03863687068223953,0.012010093778371811,0.05083687976002693,0.07213041186332703,-0.021729569882154465
5dcf34f64fee9907fc626f0f,i passed a kidney stone my cancer test result was great i got my piano tuned,election Halloween work,Nothing. Covidian existence.,watching an insurrection against our government on tv coping with extreme allergies having no appliances that work,0.034050215035676956,-0.020362865179777145,0.09635183215141296,0.11589435487985611,0.27416345477104187,0.24074257910251617
57e3fe4a813eb300018266eb,need to pay off debt got a commission to make a crochet sweater completed an expansion for an mmo game,went back to work at the location family member lost job took home off the market,went to work had to have my cat put to sleep walked the dog,new years celebratin cooked my first holiday meal none we're in lockdown,0.2272368222475052,0.07983244210481644,0.057715095579624176,0.29534295201301575,0.10187744349241257,0.22784356772899628
5c03217b1a20110001e979f0,Bicycling Music Production Cooking,Election Swimming Dining out,Went horseback riding Went for a walk with Shannon Cooked dinner,x,0.22190167009830475,0.3255169987678528,0.02860231325030327,0.31090790033340454,0.07323747873306274,0.10201635956764221
5e1e18a526689418194b69e6,Put an offer on a home Spent time with old friends outdoors and socially distant Visited my parents,Watched the election results Earned more money through online studies than I expected to Went out for errands,Went grocery shopping Voted Visited my family,Participated in company Zoom call Met up with friends on the River Walk Met family for Christmas dinner,0.15968650579452515,0.3629612326622009,0.3140893280506134,0.36789077520370483,0.15308716893196106,0.42335960268974304
57597452e8feea0006ef8805,Found out I've been autistic this whole time. that was a shock Breakup Started therapy,My next door neighbor passed away/attended funeral Voted in election Quietly celebrated election results!,christmas decorating spend time with family shopping,Watching my grandson play basketball Christmas dinner Seeing my oldest daughter and her children,0.12300785630941391,0.03277672827243805,0.15915657579898834,0.11924538016319275,0.2702774107456207,0.49073541164398193
5dd9ebd239bca1962e17e64c,Working temp job Daughter has new boyfriend Husband dropped from civil lawsuit,movie night with family taking friend's dog for a walk watching virtual concert,cleaned couch visited dr raked leaves,Christmas gift exchange Birthday gift exchange for significant other and his brother Donated towels to Animal Defense League,0.0035916753113269806,0.11956825852394104,0.03044627606868744,0.07660377025604248,0.253506600856781,0.11756421625614166
5dd405ab80123f3eaae9af80,My artwork has sold well I devoted a lot of time to producing art I paid off one debt,went out drinking built a computer found another source of income,Went to a funeral my son had surgery  My father had surgery,I had my annual review at work. I was accepted to grad school. I decided to get a CQE.,0.2909644842147827,0.15923520922660828,0.15301358699798584,0.2037222683429718,0.13802851736545563,0.1821652054786682
58c376f9efb64f0001358464,Read a new book Subscribed to a beauty box Ordered doordash,traveled to another state met new friends spent time with family,Went to the store. Talked to my mom. Took a walk.,went to the movies on Christmas went out New Year's Eve saw an old friend,0.045176729559898376,0.2874647378921509,0.12405236810445786,0.2618333101272583,0.42058318853378296,0.3265796899795532
