prolificid,age,gender,lifesat_2,po_spectrum_scale_1,po_engaged_1,traits_1,traits_2,traits_3,traits_4,traits_5,traits_6,traits_7,traits_8,traits_9,traits_10,traits_11,traits_12,traits_13,traits_14,traits_15,traits_16,traits_17,traits_18,traits_19,traits_20,imagine_traits_1,imagine_traits_2,imagine_traits_3,imagine_traits_4,imagine_traits_5,imagine_traits_6,imagine_traits_7,imagine_traits_8,imagine_traits_9,imagine_traits_10,imagine_traits_11,imagine_traits_12,imagine_traits_13,imagine_traits_14,imagine_traits_15,imagine_traits_16,imagine_traits_17,imagine_traits_18,imagine_traits_19,imagine_traits_20,change_traits_1,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9,values_10,values_11,values_12,values_13,values_14,values_15,values_16,values_17,values_18,values_19,values_20,values_21,values_22,values_23,values_24,values_25,values_26,values_27,values_28,imagine_values_1,imagine_values_2,imagine_values_3,imagine_values_4,imagine_values_5,imagine_values_6,imagine_values_7,imagine_values_8,imagine_values_9,imagine_values_10,imagine_values_11,imagine_values_12,imagine_values_13,imagine_values_14,imagine_values_15,imagine_values_16,imagine_values_17,imagine_values_18,imagine_values_19,imagine_values_20,imagine_values_21,imagine_values_22,imagine_values_23,imagine_values_24,imagine_values_25,imagine_values_26,imagine_values_27,imagine_values_28,change_values_1,goals_1,goals_2,goals_3,goals_4,goals_5,goal_importance_1,goal_importance_2,goal_importance_3,goal_importance_4,goal_importance_5,goal_length_1,goal_length_2,goal_length_3,goal_length_4,goal_length_5,goal_likelihood_6mo_1,goal_likelihood_6mo_2,goal_likelihood_6mo_3,goal_likelihood_6mo_4,goal_likelihood_6mo_5,goal_likelihood_5yr_1,goal_likelihood_5yr_2,goal_likelihood_5yr_3,goal_likelihood_5yr_4,goal_likelihood_5yr_5,goal_likelihood_ever_1,goal_likelihood_ever_2,goal_likelihood_ever_3,goal_likelihood_ever_4,goal_likelihood_ever_5,past_goals_1,past_goals_2,past_goals_3,past_goals_4,past_goals_5,past_goals_imp_1,past_goals_imp_1_TEXT,past_goals_imp_2,past_goals_imp_3,past_goals_imp_4,past_goals_imp_5,past_goals_reason_1,past_goals_reason_1_TEXT,past_goals_reason_2,past_goals_reason_3,past_goals_reason_4,past_goals_reason_5,change_goals_1,events_unrelated_1,events_unrelated_2,events_unrelated_3,unrelated_valence_1,unrelated_valence_2,unrelated_valence_3,unrelated_importance_1,unrelated_importance_2,unrelated_importance_3,unrelated_mem_1,unrelated_mem_2,unrelated_mem_3,events_related_1,events_related_2,events_related_3,related_valence_1,related_valence_2,related_valence_3,related_importance_1,related_importance_2,related_importance_3,related_mem_1,related_mem_2,related_mem_3,events_unrelated_1.1,events_unrelated_2.1,events_unrelated_3.1,events_related_1.1,events_related_2.1,events_related_3.1,prev_unr_1_valence_p_1,prev_unr_1_valence_c_1,prev_unr_1_imp_p_1,prev_unr_1_imp_c_1,prev_unr_2_valence_p_1,prev_unr_2_valence_c_1,prev_unr_2_imp_p_1,prev_unr_2_imp_c_1,prev_unr_3_valence_p_1,prev_unr_3_valence_c_1,prev_unr_3_imp_p_1,prev_unr_3_imp_c_1,prev_rel_1_valence_p_1,prev_rel_1_valence_c_1,prev_rel_1_imp_p_1,prev_rel_1_imp_c_1,prev_rel_2_valence_p_1,prev_rel_2_valence_c_1,prev_rel_2_imp_p_1,prev_rel_2_imp_c_1,prev_rel_event_3_1,prev_rel_3_valence_p_1,prev_rel_3_valence_c_1,prev_rel_3_imp_p_1
5c1f02a310677f0001da17b8,63,2,7,10,9,4,6,4,7,7,7,7,5,7,7,1,1,1,1,1,1,1,1,1,1,1,5,3,6,6,6,6,5,6,6,1,1,1,1,1,1,1,1,1,1,1,7,5,1,4,0,7,7,7,0,7,7,0,0,0,3,0,0,7,0,4,1,0,0,7,7,7,7,7,7,7,4,4,1,7,7,7,7,7,4,1,1,4,4,4,1,7,7,4,4,4,4,7,7,7,7,7,1,Move to a new state,Retire,Start a small business,,,7,7,7,,,3,5,3,,,7,2,1,,,7,7,7,,,7,7,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Trump contests results,States certify votes,None,0,100,50,1,7,1,7,7,1,Began volunteering,,,Get the message out to vote,,,100,100,7,7,,,,,,,,,100,100,7,7,,,,,,,,
5e29e44fd7d15a000d1a548d,36,2,0,13,8,4,5,7,6,6,4,7,3,6,2,5,4,4,1,3,3,1,3,1,2,3,4,6,5,5,2,6,1,5,8,4,3,3,1,8,4,1,8,1,8,1,0,1,0,7,0,0,7,0,0,0,0,0,0,0,1,1,2,7,2,7,0,3,4,0,7,0,7,7,1,1,1,7,1,1,7,1,1,1,1,1,1,1,1,2,2,7,2,7,1,4,4,1,7,1,7,7,1,finishing my holiday dress,getting medical insurance,finding a job,building my crafting page follwers,drinking more water,7,7,7,7,7,2 months,1 month,8 months,a year,daily,7,6,4,3,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,1,i declined an invite to a party,i forgot my mask in my othe rpurse and had to wait int he car when we went grocery shopping.,had to get tested for covid.,50,50,27,1,1,7,1,1,7,georgia recount,federal court dismissed trump case against pennsylvania,trump is trying to stage a coup,100,100,0,7,7,7,7,7,7,My fiance took 2 weeks of from work,I won a raffle,I threw a virtual party for my sister,I used mail in ballots,Been sleepless from anxiety,I got into an argument with my fiance's father,100,100,4,7,73,50,5,0,100,100,7,7,100,100,7,7,13,12,5,4,0,28,5,3
5d1c4b76ab2b52001a30eeb8,21,2,3,16,8,4,6,2,6,6,6,6,1,6,6,6,2,1,6,1,1,1,2,2,1,4,5,1,6,5,5,5,1,4,5,1,1,1,1,1,1,1,5,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,marry my boyfriend,buy a house,move to different state,go to college,buy a new car,7,7,6,6,6,5 years,5 years,1 year,5 years,1 year,1,1,1,1,4,6,6,6,5,6,7,7,7,7,7,no,,,,,3,,,,,,5,,,,,,1,a power outage broke our fridge so I spent an entire day cooking everything savable,My family started rennovating our childhood home,nothing,18,55,50,2,5,1,6,6,1,"multiple states recount, Biden still winning",,,92,,,6,,,6,,,Paid off large debt,5 and half year anniversary,None,None,None,None,95,90,6,6,98,100,7,7,100,99,7,7,50,50,4,4,48,50,3,3,50,50,0,0
5e16c978783225c8108ef055,59,1,7,100,10,2,5,2,7,6,2,2,4,7,7,1,1,2,4,7,3,6,1,1,1,8,4,8,6,5,8,8,2,6,6,1,1,8,1,6,1,5,1,1,3,1,7,7,7,7,0,0,0,7,7,0,7,4,7,7,7,7,7,0,7,7,7,7,7,5,2,6,0,7,7,7,7,7,1,1,7,7,7,2,7,4,7,7,7,7,1,1,7,7,7,7,7,3,6,4,1,7,1,Saving Money,Better health for me,Surviving the next 4 years,Gun Control,Health of family,6,7,7,7,7,many years,last 5 years,a week,50 years,my entire life,1,3,1,1,1,1,1,5,1,2,1,2,5,1,1,,,,,,,,,,,,,,,,,,1,Got new internet connection,Dropped a part time job,Made plans for a vaction next year in late summer,100,75,100,7,3,7,7,6,7,Many reports of fraud,Trump not conceding ,Focus on the Georgia runoff's due to the effect they will have on Biden,0,20,96,7,3,7,7,4,7,Medical treatment,My Birthday,Buying a new car,Watching the debates,Voted by mail,Donated to Trump,71,71,6,6,89,51,5,1,97,59,6,3,81,50,6,1,100,51,7,0,82,51,5,1
5dd2c9f2c925a82e5167ef8b,58,1,9,50,7,3,4,4,7,6,7,7,2,7,5,1,1,4,1,1,1,1,1,1,1,3,3,4,6,4,6,6,8,6,5,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,2,0,3,0,5,1,0,0,2,6,4,6,6,1,1,1,1,1,1,7,1,1,1,1,1,1,1,5,2,1,2,1,6,1,1,1,2,6,4,6,5,1,Retirement,Health,Hobbies,Home projects,Cleaning,7,7,5,5,4,10 ,25,15,1,1,2,6,5,5,6,7,6,5,6,6,7,6,5,5,6,,,,,,3,,3,3,3,3,5,,5,5,5,5,1,Hiking,Gardening,Walking,100,100,100,7,7,7,4,4,4,Recount,Results revealed,Winner declared.,98,99,99,7,7,7,5,5,6,Bought some gardening equipment,Began a workout routine,worked remotely,Covid 19,Climate change,Higher cost of living,92,94,5,5,95,94,6,6,97,96,6,6,12,14,6,6,50,50,7,7,50,50,6,6
5dcea7314d51e4107516c80d,52,2,3,10,8,2,7,7,7,7,6,6,2,7,6,1,1,4,1,2,1,1,1,1,1,1,6,6,6,6,4,5,1,6,5,1,1,1,1,1,1,1,1,1,1,1,6,6,1,0,5,7,5,1,6,6,7,7,1,1,0,1,0,1,4,1,1,2,1,1,5,4,1,4,6,2,1,1,6,6,6,1,1,6,6,6,1,1,1,1,1,1,3,1,1,1,1,2,5,4,3,5,1,Prepare a manuscript for publication,Survive these Covidian times,Stay married,,,6,7,7,,,1 year,9 months,always,,,6,6,7,,,7,5,7,,,7,5,7,,,,,,,,,,,,,,,,,,,,1,Nothing. Covidian existence.,,,10,,,1,,,2,,,Many Facebook discussions and posts,,,70,,,3,,,2,,,Mourned the death of my sister,Communicated a lot with my niece,Tried a new wine,Posted anti-Trump messages on Facebook,Followed The Lincoln Project on Twitter,Screamed at the TV when that moron Trump was featued,0,10,7,7,100,100,7,7,70,50,1,1,50,50,5,4,70,60,5,5,0,10,1,0
5df97cf6deea2b70989b6528,49,2,4,5,3,4,5,3,7,6,5,6,4,7,7,1,1,3,3,1,1,1,1,1,1,3,4,3,6,5,5,5,3,6,6,1,1,2,2,1,1,1,1,1,1,1,4,5,4,4,0,7,5,7,7,2,7,7,7,7,0,0,0,2,4,6,0,5,0,1,5,0,1,0,5,6,4,3,1,7,5,7,7,2,7,7,7,7,1,1,1,3,5,6,1,6,1,2,4,1,1,1,1,pay off debt,make fun memories,remodel the bathroom,have enough money for retirement,travel to my daughter across the country,7,6,2,5,6,10 years,10 years,1 year,2 years,6 months,1,2,1,1,1,1,6,5,2,4,4,7,7,5,6,clean out my closet,,,,,5,,,,,,3,,,,,,1,went to work,had to have my cat put to sleep,walked the dog,95,0,60,6,6,3,3,7,2,Trump still won't concede the election,judges have been throwing out his requests about voter fraud,Trump won't allow Biden to transition to the presidency,0,100,0,7,5,5,7,2,2,Got a haircut.,Had lunch at an outdoor restaurant.,Organized my closet.,Looked over my absentee ballot.,Saw information about the debate online.,Got my absentee ballot in the mail.,100,80,6,3,100,100,5,4,80,80,4,3,50,70,4,5,10,10,5,4,100,100,7,7
5d5b74c1fe8768000131db67,25,2,6,14,6,4,6,5,6,7,7,7,4,7,5,2,2,2,2,2,2,2,2,2,2,2,5,4,6,6,4,6,8,6,3,1,1,2,8,1,3,1,8,1,8,1,6,4,1,2,0,7,2,4,4,5,6,2,4,4,1,1,1,3,4,3,1,2,0,2,0,3,3,0,7,3,2,2,4,6,3,5,5,5,6,3,4,4,1,2,2,3,5,4,1,2,2,2,2,4,4,1,1,Graduate with my master's degree,Start my career,Get a dog,Buy a house,Get married,7,7,6,6,5,2 years,4 years,5 years,2 years,2 years,7,5,2,1,1,7,7,7,5,5,7,7,7,7,7,Do well on an exam,,,,,8,,,,,,3,,,,,,1,Went horseback riding,Went for a walk with Shannon,Cooked dinner,100,92,50,4,4,2,7,5,2,Lawsuits have been dismissed,Republicans have refused to acknowledge Biden's win,Putin refuses to acknowledge Biden's win,74,9,8,5,5,3,2,4,3,Went for a walk,Hiked Franconia Ridge,Made ravioli,Voted early,Helped texting campaign,Talked about the news,81,60,3,1,72,89,5,5,50,50,2,1,95,97,7,6,86,86,6,6,30,33,1,1
5be76e0505e5cd00017a1f8e,51,2,10,50,7,5,6,7,7,6,7,7,4,7,4,1,1,1,1,1,1,1,1,1,1,2,5,6,6,5,6,6,3,6,3,1,1,1,1,1,1,1,1,1,1,1,4,4,0,0,0,0,7,7,7,0,7,7,7,7,7,4,0,7,4,0,0,7,4,7,7,0,7,0,4,4,1,1,1,1,7,7,7,1,7,7,7,7,7,4,1,7,4,1,1,7,7,7,7,1,7,1,1,lose weight,quit smoking,save money,be kind to everyone,retire comfortably ,4,7,6,7,6,20 years,30 years,40 years,50 years,30 years,4,4,2,7,1,6,7,3,7,3,7,7,4,7,4,Find a job,,,,,9,,,,,,5,,,,,,2,Went grocery shopping,Voted,Visited my family,50,65,80,7,7,4,1,7,7,Voting discrepancies have been discovered.,The media called the election.,Trump filed lawsuits regarding the outcome of the election.,0,0,0,7,7,7,7,7,7,I finished a book.,I harvested my garden.,I visited my grandson.,I watched the Presidential debate.,I registered to vote.,I voted by mail.,100,100,0,0,100,100,7,7,100,100,7,7,0,0,4,0,100,100,7,4,50,50,7,0
5b915c9d22d85d000115c0f5,34,2,1,15,7,3,4,7,6,3,6,6,2,5,4,3,3,2,2,3,3,1,4,2,2,8,3,3,4,3,4,5,1,5,4,2,2,8,1,2,8,1,2,8,8,1,6,6,1,3,1,2,5,4,4,2,3,3,3,1,3,2,1,5,4,2,2,2,3,2,5,2,6,1,6,4,2,2,2,2,4,4,4,3,3,3,4,3,4,3,3,6,4,4,4,3,3,4,6,3,4,3,1,read more,create art,sell my art,travel,clear my skin,6,7,6,7,6,1 year,1 year,2 years,1 year,1 year,6,5,4,2,6,7,6,5,4,6,7,7,6,7,7,,,,,,,,,,,,,,,,,,1,christmas decorating,spend time with family,shopping,87,78,84,6,5,6,6,5,6,georgia results certified,trump loses lawsuit in pennslyvania,trump won't concede,100,100,7,7,7,7,4,3,6,dyed my hair,gone for a walk,worked online,voted,watched the debate,talked with family about the election,74,58,4,4,83,82,5,4,70,71,5,5,99,97,7,7,36,37,4,3,40,44,4,4
