prolificid,age,gender,lifesat_2,po_spectrum_scale_1,po_engaged_1,traits_1,traits_2,traits_3,traits_4,traits_5,traits_6,traits_7,traits_8,traits_9,traits_10,traits_11,traits_12,traits_13,traits_14,traits_15,traits_16,traits_17,traits_18,traits_19,traits_20,change_traits_5,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9,values_10,values_11,values_12,values_13,values_14,values_15,values_16,values_17,values_18,values_19,values_20,values_21,values_22,values_23,values_24,values_25,values_26,values_27,values_28,change_values_4,goals_1,goals_2,goals_3,goals_4,goals_5,goal_importance_1,goal_importance_2,goal_importance_3,goal_importance_4,goal_importance_5,goal_length_1,goal_length_2,goal_length_3,goal_length_4,goal_length_5,goal_likelihood_6mo_1,goal_likelihood_6mo_2,goal_likelihood_6mo_3,goal_likelihood_6mo_4,goal_likelihood_6mo_5,goal_likelihood_5yr_1,goal_likelihood_5yr_2,goal_likelihood_5yr_3,goal_likelihood_5yr_4,goal_likelihood_5yr_5,goal_likelihood_ever_1,goal_likelihood_ever_2,goal_likelihood_ever_3,goal_likelihood_ever_4,goal_likelihood_ever_5,change_goals_4,events_unrelated_1,events_unrelated_2,events_unrelated_3,unrelated_valence_1,unrelated_valence_2,unrelated_valence_3,unrelated_importance_1,unrelated_importance_2,unrelated_importance_3,unrelated_mem_1,unrelated_mem_2,unrelated_mem_3,events_related_1,events_related_2,events_related_3,related_valence_1,related_valence_2,related_valence_3,related_importance_1,related_importance_2,related_importance_3,related_mem_1,related_mem_2,related_mem_3
5b915c9d22d85d000115c0f5,34,2,0,23,6,3,5,6,6,5,4,5,3,5,3,4,3,4,3,3,4,1,2,3,4,2,5,4,2,1,1,1,4,4,4,3,4,3,4,2,2,2,2,5,4,5,3,3,2,2,5,1,4,1,1,create artwork,open up online store,find remote work online,read more,be more active,6,5,5,5,6,1 year,3 years,1 year,1 year,1 year,5,3,5,6,3,6,5,6,6,7,7,5,6,7,7,2,dyed my hair,gone for a walk,worked online,40,65,78,3,4,6,4,4,6,voted,watched the debate,talked with family about the election,90,34,25,7,5,4,7,5,3
57d0a0bee3221e00015fe385,36,1,7,0,3,3,4,4,6,6,5,5,1,6,7,1,1,3,1,6,2,1,1,1,1,1,5,6,1,3,1,1,6,4,5,1,1,1,3,4,1,1,1,5,2,2,1,4,5,1,1,6,4,5,1,save up money for christmas,get groceries,make dinner,move to another state,go back to school,5,7,6,6,6,3 months,2 days,a few hours,3 years,5 years,7,7,7,2,2,7,7,7,2,3,7,7,7,4,4,1,car broke down,got a covid test,started rewatching twin peaks,0,42,100,5,6,7,7,4,7,watched debate,read news about trump getting covid,voted,0,100,50,1,7,4,1,1,3
5d5425e26375ef001b10b4e8,48,2,6,85,9,6,7,7,7,7,7,4,1,7,7,1,1,1,7,5,7,1,4,1,5,1,4,4,7,1,4,4,4,1,1,1,1,2,1,1,4,7,4,1,4,3,7,1,1,4,1,1,4,1,1,save money,pay off debt,self employed,dress great ,stay healthy,7,7,7,7,7,25,15,25,25,25,5,5,2,4,4,7,7,7,7,4,7,7,7,7,4,1,watch football,shop,eat,100,50,68,7,7,7,6,5,5,watching debates,covid battles,economy,0,0,50,5,5,7,3,4,4
5c6f2e7632cb70000169b490,43,2,7,29,9,7,6,5,6,7,7,7,7,7,6,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,7,7,7,1,1,1,7,7,1,4,4,1,3,7,1,1,2,4,1,7,1,1,1,lose 30 pounds,,,,,6,,,,,1 year,,,,,1,,,,,7,,,,,7,,,,,1,went to the park,took a road trip,did a survey,100,100,50,,,,3,7,1,watched cnn,,,50,,,5,,,2,,
5dd435b8370810425c2368cf,49,1,0,0,5,5,5,7,6,4,6,5,4,6,4,6,1,6,4,6,6,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,retire early,have a gallery opening,make a film ,build my own house,be a haven for rescue animals,4,7,7,7,7,5 years,25 years,25 years,1 year,5 years,1,1,1,1,1,1,4,4,4,4,1,7,7,6,7,1,none,none,none,0,0,0,1,1,1,1,1,1,still social distancing,going out only when necessary,protesting for BLM,50,50,50,7,7,7,7,7,7
5dcf34f64fee9907fc626f0f,72,2,2,11,10,2,7,7,7,7,7,7,7,7,7,2,1,1,4,1,5,2,2,1,1,2,7,7,7,6,3,2,6,7,7,7,7,7,7,7,5,7,4,7,7,6,6,7,7,7,7,4,5,,1,excelling at piano,learning another language,getting calmer,losing weight,making money,7,6,7,7,7,60 years,1 year,60 years,1 year,5 years,7,6,5,5,5,7,,6,6,6,7,7,7,7,6,3,i passed a kidney stone,my cancer test result was great,i got my piano tuned,0,100,100,6,7,7,7,7,7,i unfriended people on Facebook,i voted,i watched the debates,90,100,100,5,7,7,5,7,7
57e3fe4a813eb300018266eb,32,2,0,50,0,1,3,5,4,4,5,4,1,4,1,1,1,1,1,1,5,1,6,1,1,1,7,4,5,1,4,7,7,1,7,1,4,1,1,1,4,4,1,3,3,3,4,1,1,1,5,1,1,4,1,Open successful online store,Pay off debt,Get driving and a car,move out,get job,7,7,7,7,7,years,years,years,years,years,4,4,1,1,1,5,5,2,2,2,5,4,4,4,4,1,need to pay off debt,got a commission to make a crochet sweater,completed an expansion for an mmo game,20,100,100,7,7,7,7,7,7,hearing parents complaining about it,mail in ballots,ads from candidates,0,50,15,1,4,4,4,4,4
5c03217b1a20110001e979f0,43,1,6,0,9,6,5,7,5,6,6,6,4,6,4,2,2,2,2,2,3,2,2,2,1,1,1,6,1,3,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,6,3,6,6,1,1,Improving my mental health,Imporving my physical health,Expanding my audio producyion skillset,Learning to code,Traveling,7,7,5,5,6,10 years,5 years,5 years,6 years,1 year,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,1,Bicycling,Music Production,Cooking,100,96,94,6,5,6,7,7,7,Watching news,Researching the candidates,Researching the issues,61,75,66,6,7,7,6,6,7
5e1e18a526689418194b69e6,35,2,8,0,8,6,6,7,6,6,6,6,6,5,5,3,4,3,5,4,4,4,3,2,2,1,6,5,1,3,2,6,7,1,1,1,5,1,1,1,3,1,1,6,1,1,1,2,1,6,5,2,5,4,1,Purchase a home,Continued career growth,Pay off debt,European vacation,Retire by 60,6,7,7,2,3,3 years,5 years,10 years,3 years,5 years,7,7,1,1,4,7,7,6,6,4,7,7,7,7,4,3,Put an offer on a home,Spent time with old friends outdoors and socially distant,Visited my parents,85,100,100,6,7,7,7,5,4,Early voted,Watched the presidential debate ,Watched the VP debate,100,0,11,7,5,4,7,4,3
57597452e8feea0006ef8805,27,3,6,,3,5,7,7,4,6,6,4,6,5,7,2,2,1,5,4,4,5,3,1,4,2,7,1,5,2,5,7,7,6,7,1,5,3,7,6,4,3,7,5,5,1,5,6,6,6,6,7,7,2,1,Publish a book,Create a following for my educational material on alternative lifestyles,get fit again,finish my SQL course and get a better job,Restore my project vehicle,6,5,7,6,4,Since I was a child,5-10 years,2 years,6 months,1 year,1,5,7,7,1,6,7,7,7,5,7,7,7,7,5,2,Found out I've been autistic this whole time. that was a shock,Breakup,Started therapy,50,40,60,7,6,5,7,7,7,Lost an old friend because he's a pacifist centrist,nearly lost a DnD group because they're gaslighting pacifist enablers,Started exploring more marxist and boogaloo pages trying to figure out who's actually taking action.,40,30,50,3,5,4,5,6,4
